geoid,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
20067,11,1,,1
20069,13,1,6.9,1
20071,12,1,,1
20073,16,2,14.8,1
20077,17,3,15.2,1
20079,8,1,,1
20085,18,3,,1
20089,16,1,12.8,1
20091,18,1,,1
20099,17,3,,1
20103,12,1,,1
20105,8,1,11.8,1
20107,9,1,10.6,1
20111,18,2,,1
20115,13,1,10.0,1
20119,15,3,,1
20123,17,1,12.4,1
20125,17,8,16.2,1
20127,15,2,12.7,1
20129,15,2,,1
20133,15,6,15.4,1
20135,15,1,,1
20137,10,1,8.5,1
20141,13,2,12.4,1
20143,14,1,,1
20145,14,1,,1
20147,13,1,,1
20149,15,2,,1
20151,15,2,9.5,1
20153,14,2,10.0,1
20155,17,2,12.4,1
20161,15,1,22.0,1
20163,10,1,5.3,1
20165,12,1,,1
20167,11,1,,1
20169,17,2,12.3,1
20173,20,9,14.0,1
20175,13,1,12.9,1
20177,10,1,11.4,1
20179,13,1,,1
20181,14,1,,1
20185,10,1,10.8,1
20187,11,1,12.8,1
20189,14,1,15.2,1
20191,16,2,10.7,1
20199,17,2,12.8,1
20201,11,1,8.1,1
20203,0,1,,0
20205,13,2,15.7,1
20209,22,3,17.5,1
21001,17,1,18.0,1
21003,17,2,15.0,1
21005,16,2,12.4,1
21007,15,1,13.7,1
21009,16,1,21.0,1
21011,19,2,23.4,1
21013,19,3,27.1,1
21017,16,1,13.6,1
21019,18,2,17.7,1
21021,16,2,14.7,1
21023,18,1,20.1,1
21025,19,3,28.1,1
21027,10,1,21.3,1
21029,17,5,15.7,1
21031,15,1,18.5,1
21033,21,2,13.8,1
21035,17,1,17.2,1
21037,19,11,20.0,1
21039,9,1,16.6,1
21041,16,1,18.9,1
21043,18,2,19.5,1
21045,15,1,24.4,1
21047,17,5,17.2,1
21049,17,2,12.9,1
21051,21,7,31.7,1
21053,15,1,18.4,1
21055,18,2,18.1,1
21057,20,2,33.9,1
21059,22,1,,1
21061,17,2,16.8,1
21063,18,4,27.1,1
21065,18,3,21.9,1
21067,22,4,,1
21069,18,1,22.9,1
21071,23,4,26.6,1
21073,17,1,13.4,1
21075,21,1,25.6,1
21077,19,2,14.4,1
21079,18,3,17.0,1
21081,16,1,12.2,1
21083,16,1,20.5,1
21085,17,1,19.3,1
21087,18,1,21.4,1
21089,17,1,15.1,1
21091,16,2,15.8,1
21093,16,2,11.6,1
21095,21,3,27.2,1
21097,16,1,16.3,1
21099,17,4,21.2,1
21101,20,1,15.4,1
21103,17,2,15.4,1
21105,17,1,20.8,1
21107,18,1,19.1,1
21109,19,3,23.0,1
21111,22,113,35.0,1
21115,20,1,23.3,1
21119,9,1,25.9,1
21121,19,8,36.7,1
21123,19,1,18.8,1
21125,19,8,21.3,1
21127,17,1,21.9,1
21129,19,4,28.8,1
21131,19,2,27.3,1
21133,22,2,26.7,1
21135,21,2,22.6,1
21137,18,2,14.7,1
21139,18,3,18.8,1
21141,16,2,14.0,1
21143,15,1,10.6,1
21145,18,2,15.3,1
21147,21,5,35.1,1
21149,15,1,9.2,1
21151,21,5,15.8,1
21153,22,2,33.3,1
21155,18,3,19.5,1
21157,16,1,13.4,1
21159,20,2,29.2,1
21161,16,1,18.3,1
21163,12,1,13.7,1
21165,18,2,28.1,1
21167,9,1,14.7,1
21169,11,1,25.6,1
21171,20,1,22.2,1
21173,19,3,15.2,1
21175,19,2,18.2,1
21177,20,2,17.7,1
21179,16,6,9.4,1
21181,17,1,18.5,1
21183,14,1,13.0,1
21185,6,1,,1
21187,7,1,17.1,1
21189,20,2,24.8,1
21191,8,1,14.3,1
21193,22,3,25.5,1
21195,21,3,25.0,1
21197,18,2,21.7,1
21199,19,2,20.2,1
21201,19,1,27.4,1
21203,19,3,24.3,1
21205,17,1,24.5,1
21207,16,1,23.4,1
21211,14,4,13.1,1
21213,19,2,15.1,1
21215,14,2,8.7,1
21217,17,3,16.6,1
21219,16,4,21.6,1
21221,15,1,20.4,1
21223,17,2,15.4,1
21225,20,2,17.3,1
21227,21,2,16.7,1
21229,16,2,12.5,1
21231,20,3,24.3,1
21233,21,4,13.9,1
21235,22,8,25.0,1
21237,19,3,38.0,1
22001,15,1,24.3,1
22003,18,9,20.4,1
22005,15,4,34.0,1
22007,18,3,13.9,1
22009,22,10,27.3,1
22011,15,12,14.1,1
22013,19,1,32.1,1
22015,18,1,16.4,1
22017,22,4,22.3,1
22019,19,36,38.8,1
22021,15,1,25.3,1
22023,11,1,6.3,1
22025,18,2,28.0,1
22027,12,1,35.0,1
22029,17,1,34.7,1
22031,19,3,21.8,1
22033,21,4,,1
22035,21,2,35.6,1
22037,19,3,13.5,1
22039,18,5,22.9,1
22041,20,4,25.6,1
22043,21,2,16.1,1
22045,20,2,22.6,1
22047,16,5,15.5,1
22049,16,2,24.3,1
22051,17,52,25.1,1
22053,15,2,17.7,1
