geoid,md_primary_care_count,do_primary_care_count,total_population,pcp_count,pcp_per_100k
05143,206.0,16.0,256054.0,222.0,86.70046162137675
05145,47.0,12.0,77755.0,59.0,75.87936467108224
05147,2.0,0.0,6049.0,2.0,33.063316250619934
05149,10.0,1.0,20129.0,11.0,54.64752347359531
06001,1804.0,93.0,1628997.0,1897.0,116.45202538740095
06003,0.0,0.0,1190.0,0.0,0.0
06005,16.0,4.0,41412.0,20.0,48.29518014102192
06007,104.0,12.0,207303.0,116.0,55.95673965162106
06009,17.0,4.0,46563.0,21.0,45.10018684363121
06011,5.0,1.0,21914.0,6.0,27.379757232819205
06013,1151.0,67.0,1156966.0,1218.0,105.27534949168775
06015,13.0,4.0,27082.0,17.0,62.772321098884866
06017,143.0,12.0,192646.0,155.0,80.45845748159837
06019,658.0,57.0,1015190.0,715.0,70.43016578177483
06021,3.0,1.0,28339.0,4.0,14.114824094004728
06023,78.0,5.0,135010.0,83.0,61.476927634990005
06025,39.0,2.0,178713.0,41.0,22.94181173165914
06027,13.0,1.0,18718.0,14.0,74.79431563201196
06029,423.0,23.0,916108.0,446.0,48.68421627144398
06031,56.0,2.0,152981.0,58.0,37.913204907799006
06033,25.0,3.0,68191.0,28.0,41.061137100203844
06035,8.0,0.0,29904.0,8.0,26.75227394328518
06037,7043.0,576.0,9721138.0,7619.0,78.37559758950033
06039,80.0,4.0,160256.0,84.0,52.41613418530351
06041,353.0,24.0,256018.0,377.0,147.2552711137498
06043,5.0,0.0,17020.0,5.0,29.37720329024677
06045,63.0,9.0,89783.0,72.0,80.19335508949356
06047,119.0,4.0,290014.0,123.0,42.411745639865664
06049,4.0,2.0,8511.0,6.0,70.49700387733522
06051,6.0,3.0,12978.0,9.0,69.34812760055479
06053,262.0,26.0,432858.0,288.0,66.53452171381839
06055,125.0,8.0,134300.0,133.0,99.03201787043932
06057,68.0,5.0,102293.0,73.0,71.36363192007273
06059,2873.0,350.0,3151184.0,3223.0,102.27901639510736
06061,466.0,44.0,417772.0,510.0,122.07615637237535
06063,12.0,2.0,19351.0,14.0,72.34768229032092
06065,1041.0,123.0,2473902.0,1164.0,47.051176643213836
06067,1364.0,94.0,1584169.0,1458.0,92.03563508691308
06069,18.0,1.0,67579.0,19.0,28.11524290090117
06071,1190.0,151.0,2193656.0,1341.0,61.130824523079276
06073,2574.0,232.0,3276208.0,2806.0,85.64779769782626
06075,1350.0,43.0,808437.0,1393.0,172.3077988761029
06077,446.0,35.0,793229.0,481.0,60.638226792010876
06079,206.0,23.0,282013.0,229.0,81.20193040746348
06081,802.0,21.0,729181.0,823.0,112.86635279855071
06083,311.0,28.0,443837.0,339.0,76.37939153337824
06085,1980.0,94.0,1870945.0,2074.0,110.85307157612863
06087,251.0,21.0,264370.0,272.0,102.88610659303248
06089,112.0,20.0,180930.0,132.0,72.95639197479687
06091,0.0,0.0,3217.0,0.0,0.0
06093,27.0,3.0,43660.0,30.0,68.71278057718736
06095,337.0,55.0,448747.0,392.0,87.35434443015775
