geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct
29185,10.6,40.4,10.9,77.5,53.85,14.0,37.5
29186,8.65,36.25,10.45,77.35,57.35,11.15,36.15
29187,10.65,37.650000000000006,10.8,76.4,55.2,12.15,35.45
29189,7.15,34.7,10.649999999999999,78.4,62.400000000000006,10.55,33.85
29195,10.95,34.15,10.55,76.7,58.15,11.8,35.15
29197,8.7,35.400000000000006,10.5,76.7,60.8,11.0,35.599999999999994
29199,10.899999999999999,35.65,10.9,76.35,54.15,11.600000000000001,35.900000000000006
29201,10.0,37.45,11.05,78.05000000000001,55.650000000000006,12.25,36.1
29203,10.5,38.45,11.0,77.25,50.599999999999994,13.2,36.6
29205,10.3,39.1,10.9,76.65,54.45,13.2,36.9
29207,11.05,37.3,10.95,75.4,49.95,12.75,35.45
29209,8.9,39.5,10.55,78.9,58.15,12.95,38.95
29211,13.649999999999999,37.8,10.45,77.1,52.25,13.5,36.85
29213,9.8,36.45,10.75,77.19999999999999,55.6,11.95,35.9
29215,11.5,40.849999999999994,10.95,77.4,53.8,14.25,37.05
29217,10.399999999999999,37.65,11.2,77.2,53.95,12.9,37.150000000000006
29219,9.15,35.349999999999994,10.55,76.65,58.65,11.15,35.55
29221,11.3,38.55,11.2,76.5,52.45,13.5,36.25
29223,11.9,40.9,11.4,76.80000000000001,53.4,15.0,37.8
29225,9.85,35.5,10.8,76.5,58.9,11.399999999999999,35.0
29227,9.600000000000001,39.3,10.7,77.65,56.5,13.35,37.5
29229,11.8,38.45,11.25,77.15,53.6,14.0,36.9
29510,9.149999999999999,37.05,11.7,80.4,56.15,13.0,32.3
30001,9.8,31.45,11.0,71.05,62.7,9.45,31.55
30003,14.3,34.55,14.1,69.55000000000001,50.5,14.45,28.950000000000003
30005,12.100000000000001,35.0,13.3,69.45,55.15,13.3,31.099999999999998
30007,9.45,31.849999999999998,10.95,70.25,59.45,9.1,31.2
30009,8.85,35.35,11.0,71.80000000000001,65.19999999999999,10.0,32.05
30011,9.85,34.85,11.35,71.30000000000001,61.400000000000006,10.4,33.25
30013,10.1,32.0,12.350000000000001,72.94999999999999,62.4,9.600000000000001,31.9
30015,10.600000000000001,34.15,11.95,71.4,59.0,10.85,32.0
30017,9.3,31.3,11.1,70.6,62.45,9.5,30.0
