geoid,uninsured_rate,uninsured_count,total_population
22007,0.09699999999999999,1559.0,16088.0
22009,0.09300000000000001,2717.0,29168.0
22011,0.08900000000000001,2654.0,29800.0
22013,0.07200000000000001,695.0,9720.0
22015,0.083,8861.0,106799.0
22017,0.08199999999999999,14767.0,179348.0
22019,0.081,13354.0,165764.0
22021,0.08900000000000001,633.0,7090.0
22023,0.066,262.0,3968.0
22025,0.084,530.0,6346.0
22027,0.096,853.0,8912.0
22029,0.09300000000000001,1253.0,13538.0
22031,0.081,1725.0,21312.0
22033,0.076,27292.0,358442.0
22035,0.08800000000000001,362.0,4118.0
22037,0.066,862.0,12966.0
22039,0.08199999999999999,2083.0,25483.0
22041,0.094,1444.0,15300.0
22043,0.079,1229.0,15646.0
22045,0.086,4811.0,55765.0
22047,0.079,1667.0,21227.0
22049,0.07400000000000001,821.0,11148.0
22051,0.109,36943.0,338879.0
22053,0.083,2184.0,26181.0
22055,0.087,17895.0,206466.0
22057,0.08199999999999999,6319.0,77037.0
22059,0.08900000000000001,932.0,10414.0
22061,0.08,2869.0,35696.0
22063,0.071,8983.0,126561.0
22065,0.069,475.0,6896.0
22067,0.079,1437.0,18252.0
22069,0.075,2089.0,28032.0
22071,0.08,22812.0,286032.0
22073,0.076,9552.0,125560.0
22075,0.085,1559.0,18387.0
22077,0.077,1182.0,15357.0
22079,0.079,8094.0,102037.0
22081,0.077,445.0,5780.0
22083,0.08900000000000001,1348.0,15130.0
22085,0.1,1676.0,16819.0
22087,0.09,3404.0,37962.0
22089,0.055,2300.0,42191.0
22091,0.083,687.0,8241.0
22093,0.06,905.0,15185.0
22095,0.069,2239.0,32326.0
22097,0.085,5652.0,66215.0
22099,0.079,3298.0,41897.0
22101,0.09300000000000001,3525.0,37849.0
22103,0.08,17701.0,220567.0
22105,0.084,9333.0,110779.0
22107,0.10300000000000001,280.0,2721.0
22109,0.095,8196.0,85849.0
22111,0.07400000000000001,1164.0,15695.0
22113,0.081,3838.0,47113.0
22115,0.076,2975.0,39303.0
22117,0.07400000000000001,2560.0,34463.0
22119,0.08,2232.0,27774.0
22121,0.057999999999999996,1315.0,22803.0
22123,0.09,672.0,7460.0
