locationid,measureid,data_value
01059,DIABETES,13.9
06071,HIGHCHOL,31.9
05083,ACCESS2,11.3
05147,HIGHCHOL,42.5
06013,BPHIGH,27.5
01057,CASTHMA,10.3
05115,CASTHMA,10.6
01081,CHECKUP,79.3
05053,DIABETES,12.0
01077,CHECKUP,77.7
05113,CHECKUP,79.8
06065,BPHIGH,33.3
01001,CHECKUP,79.4
04021,CHECKUP,75.4
02220,ACCESS2,9.0
05031,BPHIGH,38.5
05119,DENTAL,58.4
01031,CHECKUP,79.4
05117,BPHIGH,46.7
05097,ACCESS2,12.0
06031,BPHIGH,32.0
01089,ACCESS2,8.0
01041,BPHIGH,40.8
01035,CHECKUP,79.5
02180,CASTHMA,12.8
05065,DENTAL,50.2
06037,CHECKUP,70.7
05059,CHECKUP,78.4
05063,CASTHMA,10.4
06067,HIGHCHOL,33.8
01107,BPHIGH,43.6
06003,CHECKUP,70.3
06059,HIGHCHOL,36.6
05061,CASTHMA,10.6
02164,DIABETES,12.6
05033,HIGHCHOL,35.0
05129,BPHIGH,39.4
05003,CASTHMA,11.0
02070,CHECKUP,63.7
05025,BPHIGH,46.5
01129,ACCESS2,10.2
01011,CASTHMA,11.5
02282,DIABETES,10.6
05065,HIGHCHOL,42.2
02016,HIGHCHOL,33.4
01057,BPHIGH,40.9
04023,HIGHCHOL,33.3
01109,CHECKUP,79.7
06031,CASTHMA,9.8
05073,DENTAL,43.2
01097,BPHIGH,43.1
05015,CASTHMA,9.9
01033,HIGHCHOL,35.9
06041,CASTHMA,9.4
04011,HIGHCHOL,32.1
05125,CASTHMA,10.1
01061,CASTHMA,10.4
04001,CASTHMA,14.4
01091,HIGHCHOL,37.3
06057,CHECKUP,76.6
01031,ACCESS2,11.7
05117,ACCESS2,11.3
06067,DENTAL,61.7
05021,DENTAL,50.0
01033,DIABETES,15.0
01117,CASTHMA,9.3
02066,CHECKUP,70.2
01089,HIGHCHOL,35.0
05047,HIGHCHOL,41.6
01051,DIABETES,13.0
01101,ACCESS2,10.2
02290,BPHIGH,37.1
05121,CASTHMA,10.8
04017,CHECKUP,68.1
05103,DIABETES,13.9
06051,HIGHCHOL,35.1
05055,BPHIGH,42.5
02282,BPHIGH,40.5
01065,CASTHMA,11.5
05047,CHECKUP,75.8
06047,CASTHMA,9.8
01131,DIABETES,19.1
01033,ACCESS2,9.8
01047,CHECKUP,84.2
02150,CHECKUP,67.6
05083,DIABETES,11.3
02158,DENTAL,31.8
02198,ACCESS2,11.8
02110,CASTHMA,10.2
06009,CASTHMA,10.5
04013,HIGHCHOL,36.5
05053,CASTHMA,10.0
02290,CHECKUP,66.7
06019,ACCESS2,14.6
06045,ACCESS2,10.3
01125,CASTHMA,10.2
05043,DENTAL,52.5
05133,BPHIGH,37.6
01043,CASTHMA,9.8
05087,CASTHMA,10.5
05099,HIGHCHOL,42.4
06039,DENTAL,54.6
05047,BPHIGH,38.5
02164,ACCESS2,12.6
01115,DENTAL,61.4
01069,ACCESS2,10.8
05107,CHECKUP,80.6
06055,DIABETES,11.4
06015,CHECKUP,72.7
06019,DIABETES,12.7
01047,DIABETES,18.1
05143,DIABETES,10.7
01111,DIABETES,16.1
01123,HIGHCHOL,45.1
06021,BPHIGH,29.5
05125,DENTAL,62.7
06011,CHECKUP,69.6
05001,DIABETES,12.1
05027,HIGHCHOL,35.9
05051,CHECKUP,80.2
05035,CASTHMA,11.6
06045,DIABETES,10.4
02068,DENTAL,61.1
06015,BPHIGH,36.0
05111,HIGHCHOL,34.6
01101,DENTAL,53.8
01073,CASTHMA,9.9
01027,ACCESS2,11.7
01111,BPHIGH,46.1
01063,CHECKUP,81.9
06027,DENTAL,66.3
05019,CASTHMA,10.9
05133,DIABETES,13.7
02220,DENTAL,61.2
01109,DENTAL,55.2
06055,CASTHMA,9.5
05075,CHECKUP,78.6
05039,BPHIGH,49.8
01045,CHECKUP,79.8
05049,HIGHCHOL,34.1
05041,BPHIGH,52.8
04005,CHECKUP,68.6
01003,DENTAL,63.7
05051,CHECKUP,76.3
01061,DENTAL,54.2
05023,CHECKUP,80.7
06067,BPHIGH,28.9
01023,HIGHCHOL,45.3
06027,BPHIGH,27.8
05133,DENTAL,48.5
01067,BPHIGH,48.1
05121,DIABETES,14.7
01089,DIABETES,12.1
01133,CASTHMA,10.4
05135,CASTHMA,10.8
04013,DENTAL,61.9
06005,ACCESS2,8.1
01013,DIABETES,15.2
05009,CHECKUP,79.3
02063,BPHIGH,29.7
05133,HIGHCHOL,39.3
04023,ACCESS2,25.7
04017,BPHIGH,35.3
01099,CASTHMA,11.1
04017,CASTHMA,13.6
06007,DIABETES,9.9
05111,DENTAL,45.5
05047,ACCESS2,11.5
01101,DENTAL,53.2
02230,DENTAL,58.7
01129,DIABETES,13.3
02050,BPHIGH,39.7
01055,DENTAL,54.7
01085,ACCESS2,13.9
06007,ACCESS2,8.4
05147,DENTAL,48.1
02230,HIGHCHOL,34.3
05075,DIABETES,12.0
06041,DIABETES,7.5
01023,DENTAL,49.2
05019,CASTHMA,10.9
01075,HIGHCHOL,36.9
01119,CHECKUP,82.3
01001,DENTAL,61.9
01037,HIGHCHOL,35.1
01005,CHECKUP,81.4
05013,HIGHCHOL,41.0
06019,ACCESS2,14.6
04009,CHECKUP,70.8
01107,ACCESS2,13.4
01107,CASTHMA,10.7
05063,CHECKUP,78.7
01115,CASTHMA,10.0
05147,CASTHMA,11.2
05021,DIABETES,14.1
01097,DIABETES,16.1
01081,HIGHCHOL,36.5
01127,HIGHCHOL,41.9
06045,HIGHCHOL,31.2
01033,ACCESS2,10.2
06007,DIABETES,10.7
02180,BPHIGH,35.5
02110,DENTAL,62.8
06027,HIGHCHOL,29.8
04005,CHECKUP,69.0
05099,BPHIGH,43.7
01095,BPHIGH,41.7
06019,DIABETES,12.4
05139,BPHIGH,46.4
01031,CASTHMA,10.2
05107,DENTAL,40.4
02230,CASTHMA,10.1
01083,HIGHCHOL,35.7
01017,DIABETES,14.5
02275,DENTAL,55.3
01063,ACCESS2,15.4
02130,DIABETES,8.6
05143,DIABETES,10.1
02158,ACCESS2,18.1
06069,ACCESS2,14.3
04001,BPHIGH,36.0
01117,ACCESS2,7.4
01103,BPHIGH,39.9
05141,HIGHCHOL,33.6
05071,DENTAL,45.2
01003,DIABETES,10.4
05135,DENTAL,51.2
06033,DENTAL,61.5
06067,CASTHMA,10.2
01015,DENTAL,55.8
06045,DIABETES,13.7
06053,CASTHMA,9.6
04019,HIGHCHOL,32.8
06001,BPHIGH,26.5
01015,HIGHCHOL,40.4
04009,CHECKUP,70.2
05113,BPHIGH,37.2
01085,ACCESS2,14.7
01051,ACCESS2,9.2
05055,DENTAL,50.6
06041,CHECKUP,69.3
01055,ACCESS2,10.8
01011,HIGHCHOL,43.2
01109,BPHIGH,40.6
04013,BPHIGH,28.6
04001,ACCESS2,14.6
01111,DIABETES,12.7
05129,DENTAL,47.0
06041,CHECKUP,74.6
05051,BPHIGH,45.8
01129,CASTHMA,10.7
01047,CHECKUP,81.8
02066,CASTHMA,10.7
02130,CASTHMA,10.4
02100,CHECKUP,72.3
01053,CASTHMA,10.9
06055,BPHIGH,27.7
01057,DENTAL,49.5
06009,DENTAL,64.5
05101,BPHIGH,47.4
01051,DENTAL,60.1
01035,BPHIGH,54.7
02290,HIGHCHOL,38.0
01029,BPHIGH,37.0
06003,BPHIGH,35.7
05107,DENTAL,39.1
02198,DIABETES,11.0
05043,DIABETES,15.2
01039,CASTHMA,10.2
05009,DIABETES,13.1
06039,CASTHMA,10.4
05099,CHECKUP,77.8
05033,DIABETES,10.9
05037,BPHIGH,41.5
01117,CHECKUP,79.7
02198,CASTHMA,12.1
06021,CASTHMA,10.1
05139,ACCESS2,11.9
01001,CHECKUP,81.0
06005,HIGHCHOL,30.4
05043,ACCESS2,12.0
05005,ACCESS2,10.0
02105,DENTAL,52.5
02158,DIABETES,16.5
06031,DENTAL,52.0
01015,BPHIGH,41.5
01043,CHECKUP,79.3
01119,HIGHCHOL,39.9
04019,DIABETES,9.5
04003,DENTAL,55.9
01085,HIGHCHOL,43.0
04003,BPHIGH,31.9
04005,CASTHMA,11.7
05065,BPHIGH,47.6
06059,ACCESS2,8.9
02050,HIGHCHOL,31.7
06055,DENTAL,63.0
02070,CHECKUP,63.5
05087,ACCESS2,13.1
01031,CHECKUP,77.6
01077,BPHIGH,39.6
05109,BPHIGH,44.3
01127,DENTAL,51.5
04012,BPHIGH,46.3
06059,CHECKUP,71.7
05039,ACCESS2,11.1
02068,DIABETES,7.7
05003,DENTAL,48.6
05051,CASTHMA,10.1
06019,DENTAL,53.9
01035,CHECKUP,83.1
01111,DENTAL,53.7
06023,BPHIGH,29.9
01061,BPHIGH,39.1
05085,DENTAL,57.2
04003,HIGHCHOL,40.9
06071,DIABETES,11.8
05115,BPHIGH,36.3
06037,DENTAL,62.1
05059,ACCESS2,11.3
02110,DIABETES,7.8
01037,DIABETES,18.6
02090,HIGHCHOL,31.2
06057,BPHIGH,37.5
06027,DIABETES,12.4
06005,ACCESS2,7.5
05019,ACCESS2,11.0
05137,DENTAL,47.4
01047,CASTHMA,11.6
05005,ACCESS2,10.7
02185,DENTAL,51.8
01003,CASTHMA,9.4
05023,CASTHMA,10.1
06001,DENTAL,65.1
01119,DENTAL,45.3
05121,DENTAL,49.1
01049,BPHIGH,44.5
01061,CHECKUP,77.1
05049,ACCESS2,12.2
01017,ACCESS2,12.1
05143,ACCESS2,12.8
05137,CASTHMA,10.5
01063,BPHIGH,59.8
05029,HIGHCHOL,34.3
05109,CHECKUP,79.5
05001,CASTHMA,10.8
59,CASTHMA,9.8
01097,CHECKUP,78.1
02060,BPHIGH,36.3
02290,DENTAL,42.3
05035,ACCESS2,12.7
02060,CHECKUP,68.1
04021,CASTHMA,10.8
04025,CHECKUP,77.1
06055,DENTAL,63.7
05117,ACCESS2,10.6
05025,HIGHCHOL,33.1
05021,BPHIGH,43.3
05147,CHECKUP,77.3
05115,DENTAL,53.3
01045,CASTHMA,10.3
01069,CASTHMA,10.5
02185,HIGHCHOL,32.0
05137,HIGHCHOL,44.4
06005,DIABETES,11.8
01089,DENTAL,63.3
05103,HIGHCHOL,33.4
01093,ACCESS2,11.0
02170,DENTAL,56.0
01055,DIABETES,16.3
01129,CHECKUP,78.0
01097,HIGHCHOL,35.3
01079,HIGHCHOL,35.9
01067,HIGHCHOL,43.9
01091,CASTHMA,11.0
06069,DIABETES,10.5
04017,CHECKUP,71.6
01029,HIGHCHOL,43.2
06051,DENTAL,65.1
05039,DENTAL,50.2
05015,BPHIGH,37.4
05095,ACCESS2,12.3
05037,DIABETES,13.4
05117,CASTHMA,10.6
01097,ACCESS2,10.2
01109,CHECKUP,79.5
05073,BPHIGH,43.9
06037,CASTHMA,9.1
05091,ACCESS2,12.6
01101,BPHIGH,46.3
02180,DENTAL,38.5
05133,DIABETES,15.2
05071,DIABETES,12.4
01079,ACCESS2,11.1
05031,CASTHMA,10.5
05009,CASTHMA,10.2
01033,DIABETES,12.1
05073,CASTHMA,11.6
05001,DENTAL,48.8
05033,DENTAL,54.2
06039,ACCESS2,18.1
05123,CASTHMA,11.0
04007,HIGHCHOL,30.3
05035,BPHIGH,47.4
05149,HIGHCHOL,35.0
04023,HIGHCHOL,39.1
01067,DENTAL,49.7
01045,CHECKUP,78.2
05141,CHECKUP,75.7
05055,CHECKUP,78.0
06047,DIABETES,13.3
04015,HIGHCHOL,31.2
01127,DIABETES,12.2
06003,ACCESS2,6.3
05033,HIGHCHOL,40.8
01071,HIGHCHOL,43.2
01107,DIABETES,18.0
06027,ACCESS2,7.9
05149,ACCESS2,16.1
05011,DENTAL,47.3
01025,HIGHCHOL,42.0
06057,CASTHMA,10.4
05053,DIABETES,9.8
05071,CHECKUP,77.7
05105,CASTHMA,10.3
05105,DIABETES,14.1
05089,CHECKUP,74.9
04011,BPHIGH,28.7
02090,ACCESS2,9.9
02185,CASTHMA,10.4
02220,HIGHCHOL,28.5
01113,BPHIGH,43.7
04015,DIABETES,14.2
04027,DENTAL,50.5
01101,ACCESS2,10.4
01011,DENTAL,39.5
02122,BPHIGH,35.4
05093,CHECKUP,79.8
01123,BPHIGH,48.5
05079,HIGHCHOL,37.1
04007,ACCESS2,12.1
06035,DIABETES,11.5
06045,CASTHMA,10.6
05059,HIGHCHOL,34.4
01095,CHECKUP,78.2
05041,CHECKUP,81.6
02282,BPHIGH,33.8
01015,CHECKUP,77.6
01041,DIABETES,16.6
02164,CASTHMA,12.5
01045,BPHIGH,44.3
06069,BPHIGH,28.5
06015,HIGHCHOL,37.1
01067,DENTAL,50.6
06003,CHECKUP,75.5
02130,DIABETES,10.1
05119,CASTHMA,10.3
06041,DENTAL,75.0
02150,BPHIGH,30.2
01031,BPHIGH,43.5
02013,BPHIGH,33.8
05087,BPHIGH,44.1
05135,DIABETES,11.7
05005,CASTHMA,10.5
05127,CASTHMA,10.3
06013,DIABETES,11.3
05069,CHECKUP,80.6
05103,CHECKUP,79.0
06047,BPHIGH,31.2
05147,BPHIGH,49.8
05019,DIABETES,12.9
06059,BPHIGH,26.4
05097,DIABETES,11.4
02063,HIGHCHOL,29.8
01027,HIGHCHOL,36.6
01053,DENTAL,47.9
01039,CHECKUP,80.9
02110,ACCESS2,8.5
01095,ACCESS2,13.1
05003,CHECKUP,78.2
01127,BPHIGH,44.1
02063,ACCESS2,8.8
02063,DIABETES,9.6
06013,ACCESS2,7.8
05107,HIGHCHOL,41.2
02188,CASTHMA,13.2
05139,CASTHMA,11.0
02240,BPHIGH,32.8
05057,CHECKUP,79.8
06065,HIGHCHOL,36.7
01113,CASTHMA,11.0
02122,CHECKUP,62.4
05053,ACCESS2,9.3
02275,HIGHCHOL,40.5
01021,HIGHCHOL,43.3
01071,DENTAL,52.0
01093,HIGHCHOL,36.7
05079,CASTHMA,9.8
02090,DIABETES,7.9
06011,BPHIGH,32.0
01009,CASTHMA,9.9
04012,CASTHMA,11.4
01049,ACCESS2,15.4
01041,HIGHCHOL,35.6
05039,DIABETES,17.1
01131,HIGHCHOL,35.9
05001,ACCESS2,11.1
05017,HIGHCHOL,41.9
01059,CASTHMA,10.0
06013,HIGHCHOL,31.4
05145,CHECKUP,77.5
05067,CASTHMA,11.0
02185,BPHIGH,34.9
06069,HIGHCHOL,34.1
01053,CHECKUP,80.5
01011,DIABETES,21.3
04019,ACCESS2,13.0
06039,DIABETES,12.8
05039,HIGHCHOL,32.8
05101,ACCESS2,11.0
05137,CHECKUP,75.8
01041,ACCESS2,11.2
05105,ACCESS2,11.0
05117,HIGHCHOL,41.8
01055,CASTHMA,10.3
01049,DIABETES,13.3
06001,CHECKUP,71.4
06029,DENTAL,52.1
02130,ACCESS2,9.8
05095,CASTHMA,11.6
01089,BPHIGH,36.2
05017,DENTAL,41.5
01003,BPHIGH,43.8
06001,HIGHCHOL,33.4
59,DIABETES,12.0
01109,CASTHMA,10.9
01105,CHECKUP,84.1
05139,DIABETES,13.0
01037,DENTAL,53.8
01047,BPHIGH,49.2
06043,CHECKUP,69.7
01115,CHECKUP,77.8
05053,DENTAL,55.4
04015,ACCESS2,13.1
05049,DIABETES,12.4
01003,ACCESS2,8.8
04007,DIABETES,15.0
05033,BPHIGH,37.4
02068,ACCESS2,9.5
05109,CASTHMA,10.3
05033,ACCESS2,12.1
05021,CASTHMA,10.5
01049,DENTAL,47.6
01013,CASTHMA,11.1
05129,HIGHCHOL,44.9
01113,CHECKUP,79.4
01093,DIABETES,15.5
04003,DIABETES,10.6
04003,ACCESS2,14.2
06037,CHECKUP,71.8
01105,DENTAL,42.3
59,CHECKUP,75.7
05077,BPHIGH,47.8
02020,HIGHCHOL,29.5
01091,BPHIGH,51.5
01099,CHECKUP,79.6
06025,CASTHMA,9.2
01091,CHECKUP,83.0
02122,CASTHMA,10.3
05081,HIGHCHOL,33.5
05087,DIABETES,11.3
05001,DIABETES,15.2
02195,CASTHMA,9.8
05067,CASTHMA,11.0
02240,HIGHCHOL,28.8
02220,CASTHMA,10.1
05073,ACCESS2,14.1
01017,CASTHMA,10.9
05107,CHECKUP,83.4
06017,CHECKUP,75.3
04023,BPHIGH,31.3
06043,BPHIGH,39.0
05041,DENTAL,41.3
05131,HIGHCHOL,40.2
01087,CHECKUP,83.8
05049,HIGHCHOL,43.6
06017,ACCESS2,6.2
05015,CHECKUP,75.5
05075,DENTAL,47.8
02282,DENTAL,51.7
01083,CASTHMA,9.7
01099,ACCESS2,12.1
01003,CHECKUP,80.7
02013,CHECKUP,64.2
02198,BPHIGH,33.2
01105,DENTAL,44.2
02066,CASTHMA,10.9
01067,BPHIGH,40.4
04025,DENTAL,60.4
05065,DIABETES,12.0
01023,HIGHCHOL,36.4
06059,CASTHMA,9.0
02122,CASTHMA,10.4
05127,CHECKUP,75.6
05063,HIGHCHOL,40.3
06025,DIABETES,14.6
01017,CASTHMA,10.7
01033,DENTAL,55.4
02170,ACCESS2,9.9
02070,DENTAL,46.8
05141,BPHIGH,37.6
04012,DENTAL,49.1
01065,CHECKUP,80.4
02195,DIABETES,8.5
06057,ACCESS2,5.6
01053,DENTAL,48.7
05137,ACCESS2,12.2
02230,HIGHCHOL,29.6
02185,DIABETES,11.0
01127,ACCESS2,11.2
01085,DIABETES,24.1
05073,CHECKUP,81.5
01075,HIGHCHOL,45.1
01005,HIGHCHOL,43.0
05037,ACCESS2,12.2
06061,DENTAL,69.9
06049,CHECKUP,70.0
05139,CASTHMA,10.9
02230,ACCESS2,9.7
01121,HIGHCHOL,42.1
02170,HIGHCHOL,32.0
01049,CHECKUP,78.2
01033,DENTAL,56.8
01119,ACCESS2,11.8
06037,BPHIGH,30.2
01013,CHECKUP,80.1
02020,CASTHMA,10.7
06035,ACCESS2,12.0
01099,DIABETES,19.7
02185,ACCESS2,11.6
05107,ACCESS2,14.3
05097,DENTAL,50.9
01069,BPHIGH,44.5
05013,ACCESS2,10.9
04012,CASTHMA,10.6
05001,CHECKUP,78.1
04009,BPHIGH,31.3
05131,BPHIGH,37.3
05133,BPHIGH,40.2
04027,DIABETES,12.9
04007,CASTHMA,11.1
02130,HIGHCHOL,34.6
02110,BPHIGH,29.5
05135,DENTAL,48.0
02230,DIABETES,9.1
05021,CASTHMA,10.4
06057,CASTHMA,10.2
05121,BPHIGH,38.4
01037,ACCESS2,10.9
05123,ACCESS2,15.1
01095,DENTAL,57.7
01069,CHECKUP,79.4
05027,HIGHCHOL,32.3
06033,DENTAL,59.7
06029,DENTAL,52.1
05023,DIABETES,15.1
05103,CASTHMA,11.0
05053,DENTAL,53.9
01009,CASTHMA,9.9
06015,BPHIGH,30.8
01079,CASTHMA,10.6
01015,ACCESS2,11.0
01053,ACCESS2,13.5
05119,CASTHMA,10.3
01111,HIGHCHOL,44.4
05123,DIABETES,18.9
05137,DENTAL,49.3
05083,DENTAL,51.5
04021,HIGHCHOL,34.5
05131,DENTAL,52.6
59,CASTHMA,9.8
01053,DIABETES,15.6
06041,BPHIGH,25.2
06067,BPHIGH,30.9
05089,DIABETES,16.4
01093,CASTHMA,10.4
06051,ACCESS2,8.6
05115,DIABETES,11.4
01101,HIGHCHOL,34.0
02195,ACCESS2,10.3
01013,CASTHMA,10.9
02016,HIGHCHOL,32.2
01049,DENTAL,47.5
05123,DIABETES,16.6
01101,CHECKUP,83.0
01057,BPHIGH,47.6
05071,BPHIGH,42.5
05105,CHECKUP,75.6
04009,DENTAL,54.8
01091,HIGHCHOL,44.3
04013,DIABETES,10.6
04011,HIGHCHOL,34.8
01031,DIABETES,14.8
01089,HIGHCHOL,38.7
05031,CHECKUP,77.2
01101,DIABETES,16.4
02150,DIABETES,9.3
05085,ACCESS2,10.1
05089,BPHIGH,46.3
05041,ACCESS2,16.0
05017,BPHIGH,46.1
04017,BPHIGH,40.7
05145,BPHIGH,37.1
01115,DIABETES,13.0
06069,DENTAL,62.6
05055,ACCESS2,11.5
05033,DENTAL,54.4
04005,ACCESS2,10.1
01109,CASTHMA,10.9
01113,CASTHMA,11.1
01125,HIGHCHOL,38.0
04015,CASTHMA,11.0
06029,BPHIGH,32.2
01127,DENTAL,52.1
05019,CHECKUP,79.2
05093,DENTAL,45.8
06047,CHECKUP,68.9
06065,DENTAL,64.4
05129,ACCESS2,13.0
01067,DIABETES,12.8
01129,BPHIGH,40.8
05037,CASTHMA,11.0
06023,CHECKUP,71.9
01085,HIGHCHOL,35.4
01053,BPHIGH,48.6
05083,BPHIGH,38.2
06021,HIGHCHOL,30.7
02240,CHECKUP,65.9
04015,CHECKUP,67.7
01115,ACCESS2,9.2
04019,CHECKUP,75.7
02180,HIGHCHOL,31.9
05085,ACCESS2,9.8
01105,DIABETES,20.5
05017,ACCESS2,15.3
05071,ACCESS2,14.4
06047,DENTAL,49.5
05079,BPHIGH,42.9
06049,BPHIGH,30.9
06031,BPHIGH,30.4
05069,DIABETES,17.6
06057,BPHIGH,28.1
06021,CHECKUP,69.2
01121,BPHIGH,43.0
05115,BPHIGH,38.7
05035,CHECKUP,81.4
05051,CASTHMA,10.3
05109,HIGHCHOL,34.6
05029,CHECKUP,79.6
05087,DENTAL,48.4
06019,DENTAL,54.1
01063,CASTHMA,12.3
06017,DENTAL,71.2
01109,DIABETES,14.6
05049,DENTAL,43.8
02068,CHECKUP,67.1
06059,DIABETES,11.5
05023,HIGHCHOL,32.9
01001,BPHIGH,42.0
01087,CASTHMA,11.7
01015,DIABETES,14.8
05129,BPHIGH,49.3
05075,DIABETES,14.4
06001,DENTAL,65.4
05077,CHECKUP,80.0
06025,ACCESS2,22.1
06057,DIABETES,11.5
01067,ACCESS2,10.9
05095,BPHIGH,52.3
01107,CHECKUP,79.2
05085,DENTAL,57.0
01009,BPHIGH,41.2
06009,BPHIGH,28.2
01129,CASTHMA,10.5
05067,BPHIGH,44.4
02130,CASTHMA,10.3
01003,CASTHMA,9.3
04003,CASTHMA,10.5
06009,HIGHCHOL,40.7
01001,DIABETES,11.4
01045,CASTHMA,10.4
05035,DENTAL,46.2
05149,DENTAL,49.0
05053,BPHIGH,35.2
05091,DENTAL,48.1
05135,CHECKUP,81.0
05007,DIABETES,10.3
05065,ACCESS2,12.6
01061,CASTHMA,10.5
05073,CASTHMA,11.4
02016,ACCESS2,13.0
06067,DIABETES,11.2
05009,CHECKUP,76.2
06011,CASTHMA,9.8
06043,HIGHCHOL,30.9
06021,CASTHMA,10.1
01043,HIGHCHOL,41.5
01081,BPHIGH,38.6
06019,CASTHMA,9.9
01001,ACCESS2,9.1
01119,DENTAL,46.4
05021,ACCESS2,11.0
05129,DIABETES,12.5
05067,CHECKUP,76.5
02275,BPHIGH,31.4
02070,DIABETES,13.0
01017,CHECKUP,81.5
01051,CHECKUP,78.9
02063,CASTHMA,10.0
06043,CASTHMA,10.3
01055,CHECKUP,77.7
05001,BPHIGH,39.3
01047,CASTHMA,11.8
01055,BPHIGH,46.3
05085,CASTHMA,10.3
05025,ACCESS2,10.1
06017,BPHIGH,33.6
02105,ACCESS2,11.3
06053,CHECKUP,70.5
01085,DENTAL,44.9
05023,ACCESS2,10.1
01013,BPHIGH,44.8
59,BPHIGH,30.7
02164,DIABETES,14.6
01065,DENTAL,49.1
04005,HIGHCHOL,30.7
06071,ACCESS2,14.4
05091,CHECKUP,79.8
04011,DENTAL,57.4
01017,CHECKUP,78.9
05083,CHECKUP,76.2
01133,HIGHCHOL,37.5
01011,DENTAL,39.0
02220,ACCESS2,8.8
02195,BPHIGH,35.6
01021,ACCESS2,11.6
05061,HIGHCHOL,33.1
05043,HIGHCHOL,38.7
05143,HIGHCHOL,32.6
01103,CHECKUP,79.3
06005,CASTHMA,10.0
06071,HIGHCHOL,34.0
02275,DIABETES,12.9
06017,DIABETES,8.0
05019,DENTAL,50.6
06011,CASTHMA,9.8
04017,ACCESS2,13.6
01071,CHECKUP,79.8
02158,CHECKUP,66.0
05113,HIGHCHOL,34.2
02185,CASTHMA,10.4
02020,CHECKUP,70.7
01033,CHECKUP,80.5
06029,CHECKUP,70.9
01111,DENTAL,51.8
04025,HIGHCHOL,41.0
05101,HIGHCHOL,43.6
05127,ACCESS2,12.4
05059,HIGHCHOL,40.4
05017,DIABETES,16.1
05009,HIGHCHOL,33.2
05081,BPHIGH,46.3
01085,CHECKUP,83.9
02016,DIABETES,10.8
05143,CHECKUP,75.1
06069,CHECKUP,69.4
01133,BPHIGH,39.5
05133,CHECKUP,75.4
05097,HIGHCHOL,45.3
05005,BPHIGH,47.0
02070,BPHIGH,33.9
01109,ACCESS2,10.7
05071,DENTAL,45.7
05021,CHECKUP,75.2
06031,DIABETES,12.9
04009,DIABETES,11.4
01069,CASTHMA,10.4
06071,DENTAL,55.8
02066,ACCESS2,9.5
06009,DENTAL,63.0
01077,CASTHMA,10.0
01007,HIGHCHOL,36.7
06007,ACCESS2,8.3
05031,CASTHMA,10.6
05125,CHECKUP,79.5
01119,DIABETES,18.2
05085,DIABETES,10.1
01019,CHECKUP,80.4
06047,HIGHCHOL,35.0
02198,CASTHMA,11.9
05121,CHECKUP,75.9
05121,CHECKUP,78.5
01075,DIABETES,12.9
02240,HIGHCHOL,33.1
06041,HIGHCHOL,37.3
02180,DENTAL,39.4
05059,DIABETES,13.9
05089,CASTHMA,10.3
05051,DIABETES,11.1
02164,ACCESS2,12.1
01099,DENTAL,50.1
05099,CASTHMA,11.1
02105,DIABETES,10.4
06031,ACCESS2,17.3
01097,CASTHMA,9.7
06007,CHECKUP,70.8
01121,CHECKUP,79.5
01017,BPHIGH,48.7
01131,BPHIGH,56.7
01059,HIGHCHOL,43.7
05055,DIABETES,11.0
05119,CHECKUP,79.5
05139,CHECKUP,80.8
05119,BPHIGH,42.2
05147,CASTHMA,11.0
05043,CASTHMA,11.1
01107,CASTHMA,10.6
05045,HIGHCHOL,34.1
05011,HIGHCHOL,35.0
05013,DIABETES,11.3
01005,ACCESS2,14.3
05007,ACCESS2,10.9
01133,DIABETES,16.5
01063,DIABETES,21.1
01073,HIGHCHOL,39.5
01027,DENTAL,50.0
06011,HIGHCHOL,31.0
02070,ACCESS2,13.3
01115,CASTHMA,10.0
02110,DENTAL,62.7
02164,CHECKUP,66.5
04005,DIABETES,9.3
04001,DENTAL,43.6
05093,BPHIGH,43.4
05087,CHECKUP,78.3
05035,CASTHMA,11.6
05029,CASTHMA,10.6
05075,ACCESS2,11.6
01065,BPHIGH,46.0
02164,HIGHCHOL,29.7
01117,BPHIGH,40.2
01055,CASTHMA,10.3
05069,BPHIGH,47.2
01031,CASTHMA,10.2
01123,DIABETES,12.7
02110,HIGHCHOL,35.2
01123,HIGHCHOL,36.5
01015,DENTAL,56.7
05005,DENTAL,54.1
04019,CASTHMA,10.9
06023,HIGHCHOL,35.5
01001,DENTAL,61.9
02198,CHECKUP,66.4
05069,ACCESS2,12.5
05101,DENTAL,50.8
05111,HIGHCHOL,40.8
01047,DIABETES,22.4
05089,CASTHMA,10.6
04013,CASTHMA,10.1
05063,ACCESS2,12.1
06055,CHECKUP,73.9
05007,HIGHCHOL,30.3
06033,HIGHCHOL,38.9
01021,DIABETES,14.1
04005,BPHIGH,28.4
06039,BPHIGH,31.8
05021,DIABETES,11.1
05077,CASTHMA,11.0
06005,DIABETES,8.6
01119,DIABETES,19.7
02130,DENTAL,60.3
01125,CHECKUP,81.1
01117,ACCESS2,7.1
01045,ACCESS2,11.8
01047,BPHIGH,55.2
05083,CHECKUP,79.4
01059,ACCESS2,16.5
05085,DIABETES,11.3
02150,HIGHCHOL,31.7
06047,BPHIGH,31.8
01133,CASTHMA,10.3
06005,CHECKUP,74.0
04017,DENTAL,50.7
01029,CASTHMA,10.1
01129,CHECKUP,81.1
01133,CHECKUP,76.5
05129,HIGHCHOL,34.9
04017,CASTHMA,13.8
05051,ACCESS2,11.0
