locationid,measureid,data_value
05069,HIGHCHOL,39.4
01025,DIABETES,18.4
01101,BPHIGH,43.8
06009,ACCESS2,7.1
01131,CHECKUP,83.8
05101,DIABETES,15.3
01129,HIGHCHOL,43.3
01037,BPHIGH,50.2
05031,DIABETES,11.2
02063,BPHIGH,33.4
04019,HIGHCHOL,37.9
05143,CASTHMA,10.2
05113,ACCESS2,12.5
06049,CHECKUP,76.5
06025,DENTAL,50.5
01083,ACCESS2,9.6
05115,ACCESS2,12.1
02195,CASTHMA,10.0
04009,CASTHMA,11.2
01023,DENTAL,49.6
05045,ACCESS2,9.3
01055,HIGHCHOL,42.5
05049,CHECKUP,76.3
05013,CASTHMA,10.4
06065,ACCESS2,13.0
01081,HIGHCHOL,35.1
06039,CHECKUP,69.0
01009,DENTAL,54.9
04025,CASTHMA,10.8
01029,ACCESS2,10.6
02105,BPHIGH,33.2
06001,ACCESS2,7.2
59,ACCESS2,11.5
02020,DENTAL,64.2
01039,ACCESS2,10.4
01127,CHECKUP,77.3
05059,BPHIGH,38.5
05099,BPHIGH,51.0
04027,HIGHCHOL,31.1
06035,DIABETES,10.6
01121,CASTHMA,10.6
01041,CHECKUP,78.5
05071,CASTHMA,10.4
01089,BPHIGH,38.6
05141,CASTHMA,10.4
05105,CHECKUP,79.2
01037,ACCESS2,11.9
01113,DENTAL,49.3
02290,ACCESS2,13.5
05031,CHECKUP,77.6
01011,HIGHCHOL,37.1
04027,DIABETES,14.5
04005,DIABETES,9.8
06037,DIABETES,12.6
05131,CASTHMA,10.3
01083,HIGHCHOL,40.4
01041,CHECKUP,81.0
05097,CASTHMA,10.4
05027,DIABETES,13.5
01003,HIGHCHOL,42.8
05105,BPHIGH,43.8
05129,ACCESS2,11.9
05125,HIGHCHOL,38.6
05025,DENTAL,47.5
06035,BPHIGH,33.7
06027,DENTAL,64.6
05111,ACCESS2,12.6
06003,CASTHMA,10.5
04003,DIABETES,13.7
05011,DIABETES,17.6
06035,DENTAL,56.6
06001,BPHIGH,28.5
05113,BPHIGH,44.8
04015,DENTAL,53.1
05123,CHECKUP,80.3
02188,DENTAL,42.5
05139,DENTAL,54.8
05107,BPHIGH,55.6
01079,DENTAL,52.1
06061,HIGHCHOL,36.4
02240,CASTHMA,10.1
01029,BPHIGH,42.9
05071,CASTHMA,10.3
05053,ACCESS2,9.7
05093,CASTHMA,11.1
59,BPHIGH,34.4
04015,BPHIGH,42.0
01095,CHECKUP,76.2
01133,HIGHCHOL,45.9
05145,CHECKUP,75.7
01011,DIABETES,24.6
02130,ACCESS2,9.5
01121,CASTHMA,10.7
05039,DIABETES,12.7
06039,ACCESS2,17.9
06029,CASTHMA,10.3
05105,DENTAL,54.5
01117,DIABETES,9.6
06023,HIGHCHOL,31.1
01113,DENTAL,49.3
04019,ACCESS2,12.7
02110,BPHIGH,32.4
01109,BPHIGH,42.6
04005,HIGHCHOL,31.6
06035,ACCESS2,11.9
01087,HIGHCHOL,34.7
04025,HIGHCHOL,30.2
05007,DENTAL,62.8
02220,DIABETES,8.4
02198,BPHIGH,39.4
05103,DENTAL,51.9
05041,CASTHMA,11.8
05127,CHECKUP,78.9
05039,ACCESS2,11.8
05011,ACCESS2,15.2
06023,DIABETES,11.4
05113,CASTHMA,10.5
01111,ACCESS2,10.2
05003,CHECKUP,81.4
02068,HIGHCHOL,29.4
01065,BPHIGH,51.1
01095,CASTHMA,9.8
06059,DENTAL,63.8
05119,BPHIGH,39.5
05117,DENTAL,49.0
01027,DIABETES,12.9
02195,CHECKUP,64.9
05075,DENTAL,47.1
02050,CHECKUP,64.9
05085,HIGHCHOL,39.0
05083,CASTHMA,10.6
01127,HIGHCHOL,35.1
02130,DENTAL,61.2
05097,HIGHCHOL,34.9
06017,CHECKUP,70.5
04003,CHECKUP,70.9
05105,DIABETES,10.8
06043,CHECKUP,76.2
06023,ACCESS2,7.5
01049,HIGHCHOL,36.5
05067,BPHIGH,41.4
05061,CHECKUP,79.7
06019,BPHIGH,31.7
05105,ACCESS2,10.2
01041,DENTAL,53.7
01051,CASTHMA,10.0
05051,DENTAL,56.3
06033,CASTHMA,10.9
02013,HIGHCHOL,32.5
06009,DIABETES,13.2
01067,CHECKUP,78.2
01007,HIGHCHOL,42.4
01093,BPHIGH,39.3
06047,HIGHCHOL,33.3
01113,CHECKUP,80.6
01065,ACCESS2,12.8
04015,ACCESS2,14.3
05073,DIABETES,20.6
