NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Cochran County, Texas",45313,2442,2550,48,079
"Coke County, Texas",43333,3216,3353,48,081
"Coleman County, Texas",49159,7794,7833,48,083
"Collin County, Texas",121600,1159049,1163337,48,085
"Collingsworth County, Texas",61280,2533,2588,48,087
"Colorado County, Texas",66377,20620,21006,48,089
"Comal County, Texas",101889,182239,183826,48,091
"Comanche County, Texas",59635,13794,13950,48,093
"Concho County, Texas",65795,2466,3328,48,095
"Cooke County, Texas",73932,42548,43046,48,097
"Coryell County, Texas",71301,63773,84748,48,099
"Cottle County, Texas",59063,1363,1368,48,101
"Crane County, Texas",62212,4484,4610,48,103
"Crockett County, Texas",81022,2767,2822,48,105
"Crosby County, Texas",52188,4948,5041,48,107
"Culberson County, Texas",58777,2177,2195,48,109
"Dallam County, Texas",71500,7264,7298,48,111
"Dallas County, Texas",76547,2601589,2621179,48,113
"Dawson County, Texas",54360,10289,12134,48,115
"Deaf Smith County, Texas",60799,18257,18460,48,117
"Delta County, Texas",66575,5385,5438,48,119
"Denton County, Texas",111498,975783,979561,48,121
"DeWitt County, Texas",63730,18243,20016,48,123
"Dickens County, Texas",49335,1711,1747,48,125
"Dimmit County, Texas",38808,8247,8380,48,127
"Donley County, Texas",58750,3135,3257,48,129
"Duval County, Texas",49038,9125,9742,48,131
"Eastland County, Texas",53549,17779,18011,48,133
"Ector County, Texas",71536,162871,164654,48,135
"Edwards County, Texas",40313,1249,1290,48,137
"Ellis County, Texas",99595,211671,213160,48,139
"El Paso County, Texas",59806,844384,870779,48,141
"Erath County, Texas",65115,43335,43794,48,143
"Falls County, Texas",57247,15350,17291,48,145
"Fannin County, Texas",72295,34432,37326,48,147
"Fayette County, Texas",75854,24639,25042,48,149
"Fisher County, Texas",65533,3629,3655,48,151
"Floyd County, Texas",58462,5196,5216,48,153
"Foard County, Texas",61563,947,991,48,155
"Fort Bend County, Texas",114041,888286,893767,48,157
"Franklin County, Texas",72360,10532,10632,48,159
"Freestone County, Texas",59960,18586,20049,48,161
"Frio County, Texas",66010,16422,18582,48,163
"Gaines County, Texas",74132,22037,22232,48,165
"Galveston County, Texas",86105,354411,358990,48,167
"Garza County, Texas",46314,3802,5118,48,169
"Gillespie County, Texas",76162,27167,27524,48,171
"Glasscock County, Texas",101250,1068,1068,48,173
"Goliad County, Texas",59359,7050,7141,48,175
"Gonzales County, Texas",58672,19546,19851,48,177
"Gray County, Texas",59614,19374,21045,48,179
"Grayson County, Texas",72182,142031,143337,48,181
"Gregg County, Texas",66550,123439,125480,48,183
"Grimes County, Texas",69803,27796,31340,48,185
"Guadalupe County, Texas",92375,180767,183642,48,187
"Hale County, Texas",51897,30389,32131,48,189
"Hall County, Texas",48459,2775,2820,48,191
"Hamilton County, Texas",58219,8214,8406,48,193
"Hansford County, Texas",69441,5048,5119,48,195
"Hardeman County, Texas",63333,3493,3501,48,197
"Hardin County, Texas",75808,57162,57642,48,199
"Harris County, Texas",74983,4810498,4838303,48,201
"Harrison County, Texas",66103,69522,70155,48,203
"Hartley County, Texas",75841,3817,5215,48,205
"Haskell County, Texas",60653,5226,5421,48,207
"Hays County, Texas",89097,266465,268638,48,209
"Hemphill County, Texas",61563,3191,3234,48,211
"Henderson County, Texas",65179,83924,84862,48,213
