,geoid,uninsured_rate,uninsured_count,total_population
311,9130,0.043,5814.0,133887.0
312,9140,0.064,23249.0,365020.0
313,9150,0.053,4092.0,77899.0
314,9160,0.0559999999999999,4917.0,88019.0
315,9170,0.057,25469.0,445365.0
316,9180,0.061,13226.0,216852.0
317,9190,0.068,34682.0,512277.0
318,10001,0.075,11184.0,149140.0
319,10003,0.062,28396.0,460599.0
320,10005,0.084,14681.0,175531.0
321,11001,0.031,16917.0,551003.0
322,12001,0.102,22545.0,222081.0
323,12003,0.108,2403.0,22208.0
324,12005,0.1369999999999999,20397.0,149018.0
325,12007,0.125,2431.0,19519.0
326,12009,0.1119999999999999,52869.0,473971.0
327,12011,0.146,228914.0,1569761.0
328,12013,0.153,1440.0,9424.0
329,12015,0.14,16638.0,118785.0
330,12017,0.132,13533.0,102280.0
331,12019,0.103,19326.0,187661.0
332,12021,0.186,48733.0,262296.0
333,12023,0.136,7215.0,53192.0
334,12027,0.226,5463.0,24195.0
335,12029,0.148,1645.0,11112.0
336,12031,0.119,99579.0,834893.0
337,12033,0.124,31004.0,249939.0
338,12035,0.115,9943.0,86823.0
339,12037,0.1969999999999999,1588.0,8061.0
340,12039,0.1639999999999999,5314.0,32354.0
341,12041,0.141,1984.0,14104.0
342,12043,0.248,1798.0,7244.0
343,12045,0.141,1409.0,9979.0
344,12047,0.145,1284.0,8836.0
345,12049,0.179,3464.0,19396.0
346,12051,0.243,8386.0,34521.0
347,12053,0.141,21274.0,150568.0
348,12055,0.191,12566.0,65905.0
349,12057,0.134,168393.0,1256778.0
350,12059,0.154,2170.0,14098.0
351,12061,0.14,15092.0,107945.0
352,12063,0.115,3654.0,31699.0
353,12065,0.153,1549.0,10145.0
354,12067,0.183,991.0,5415.0
355,12069,0.126,37552.0,298347.0
356,12071,0.171,98022.0,572148.0
357,12073,0.107,25074.0,234869.0
358,12075,0.17,5644.0,33162.0
359,12077,0.159,761.0,4801.0
360,12079,0.161,2016.0,12523.0
361,12081,0.158,47698.0,302812.0
362,12083,0.156,42330.0,272204.0
363,12085,0.135,14452.0,107048.0
364,12086,0.161,346486.0,2158267.0
365,12087,0.152,9328.0,61466.0
366,12089,0.093,6956.0,74851.0
367,12091,0.119,21211.0,178614.0
368,12093,0.175,5207.0,29684.0
369,12095,0.132,160598.0,1219489.0
370,12097,0.132,47566.0,360204.0
371,12099,0.163,182292.0,1115632.0
372,12101,0.123,58081.0,471456.0
373,12103,0.13,90908.0,700016.0
374,12105,0.147,89804.0,612579.0
375,12107,0.168,9158.0,54632.0
376,12109,0.08,19620.0,244148.0
377,12111,0.141,37518.0,266107.0
378,12113,0.0969999999999999,15661.0,162129.0
379,12115,0.135,38590.0,286834.0
380,12117,0.115,45832.0,398411.0
381,12119,0.107,5777.0,53953.0
382,12121,0.157,5134.0,32756.0
383,12123,0.134,1997.0,14909.0
384,12125,0.106,992.0,9328.0
385,12127,0.128,53635.0,419589.0
386,12129,0.114,3037.0,26594.0
387,12131,0.138,8972.0,65128.0
388,12133,0.1669999999999999,3110.0,18658.0
389,13001,0.187,2692.0,14393.0
390,13003,0.207,1412.0,6817.0
391,13005,0.172,1522.0,8829.0
392,13007,0.111,221.0,1993.0
393,13009,0.153,4665.0,30446.0
394,13011,0.176,2788.0,15875.0
395,13013,0.156,12111.0,77467.0
396,13015,0.155,14785.0,95267.0
397,13017,0.15,1993.0,13295.0
398,13019,0.151,2228.0,14742.0
399,13021,0.16,19348.0,121163.0
400,13023,0.123,1128.0,9138.0
401,13025,0.179,2668.0,14867.0
402,13027,0.151,1849.0,12258.0
403,13029,0.114,4948.0,43256.0
404,13031,0.144,9500.0,65856.0
405,13033,0.118,2299.0,19432.0
406,13035,0.136,2655.0,19474.0
407,13037,0.154,437.0,2833.0
408,13039,0.124,5747.0,46166.0
409,13043,0.2019999999999999,1739.0,8595.0
410,13045,0.138,14324.0,103634.0
411,13047,0.122,6842.0,55923.0
412,13049,0.163,1323.0,8118.0
413,13051,0.141,33148.0,234832.0
414,13053,0.08,484.0,6076.0
415,13055,0.1669999999999999,3159.0,18938.0
416,13057,0.125,29729.0,237317.0
417,13059,0.146,14830.0,101358.0
418,13061,0.143,268.0,1880.0
419,13063,0.155,38746.0,250324.0
420,13065,0.185,998.0,5396.0
421,13067,0.125,82340.0,656528.0
422,13069,0.191,6340.0,33168.0
423,13071,0.198,7300.0,36891.0
424,13073,0.103,14274.0,138828.0
425,13075,0.174,2450.0,14056.0
426,13077,0.11,14234.0,129505.0
427,13079,0.162,1546.0,9536.0
428,13081,0.142,2109.0,14871.0
429,13083,0.142,1723.0,12141.0
430,13085,0.14,3372.0,24153.0
431,13087,0.14,3148.0,22555.0
432,13089,0.1369999999999999,86883.0,631984.0
433,13091,0.139,1947.0,14040.0
434,13093,0.152,996.0,6533.0
435,13095,0.158,9977.0,63192.0
436,13097,0.141,17769.0,125970.0
437,13099,0.142,1139.0,8018.0
438,13101,0.191,596.0,3123.0
439,13103,0.106,6433.0,60427.0
440,13105,0.185,2805.0,15179.0
441,13107,0.165,2886.0,17449.0
442,13109,0.178,1445.0,8099.0
443,13111,0.178,3144.0,17629.0
444,13113,0.098,9549.0,97829.0
