poverty_rate_pct,total_population_poverty,fips
13.0,1501,19175
12.9,928,19177
16.1,5473,19179
6.3,3305,19181
9.9,2188,19183
14.5,921,19185
12.5,4197,19187
10.1,1015,19189
9.7,1777,19191
13.0,13386,19193
9.7,702,19195
11.2,1405,19197
15.7,1904,20001
13.6,1042,20003
14.7,2127,20005
12.0,489,20007
13.9,3430,20009
19.0,2670,20011
14.4,1331,20013
7.8,5131,20015
11.3,268,20017
17.1,574,20019
16.2,3047,20021
13.0,331,20023
12.7,241,20025
12.3,965,20027
13.1,1104,20029
9.6,785,20031
11.9,193,20033
16.0,5203,20035
17.7,6656,20037
14.4,379,20039
10.2,1840,20041
10.6,747,20043
15.1,16828,20045
12.1,328,20047
16.8,410,20049
13.6,3711,20051
11.9,617,20053
12.0,4439,20055
11.7,3856,20057
10.0,2536,20059
13.2,4576,20061
11.1,297,20063
13.3,315,20065
11.2,796,20067
8.3,466,20069
10.3,123,20071
15.4,903,20073
13.0,315,20075
13.8,722,20077
9.0,2943,20079
9.9,348,20081
9.1,158,20083
8.8,1145,20085
8.1,1465,20087
12.1,348,20089
5.4,33349,20091
10.3,387,20093
11.6,820,20095
12.8,285,20097
15.3,2969,20099
10.6,163,20101
9.5,7294,20103
11.3,322,20105
12.8,1246,20107
9.8,262,20109
16.1,4935,20111
10.2,2860,20113
10.2,1141,20115
10.7,1045,20117
9.9,378,20119
6.9,2377,20121
12.1,680,20123
15.1,4559,20125
10.6,555,20127
12.2,311,20129
8.8,869,20131
15.6,2360,20133
11.3,289,20135
16.1,699,20137
11.3,1743,20139
13.8,467,20141
10.1,573,20143
14.6,789,20145
12.4,589,20147
7.4,1906,20149
10.2,876,20151
11.0,274,20153
15.3,9000,20155
10.1,461,20157
10.8,960,20159
20.2,12237,20161
11.2,518,20163
14.6,416,20165
14.4,946,20167
13.1,6832,20169
7.5,368,20171
15.7,81103,20173
13.7,2880,20175
13.6,23618,20177
10.9,261,20179
12.8,720,20181
11.3,393,20183
12.8,498,20185
10.2,198,20187
10.0,507,20189
13.1,2905,20191
10.3,771,20193
10.9,295,20195
7.8,533,20197
13.5,197,20199
9.6,520,20201
11.1,225,20203
13.7,1158,20205
15.3,469,20207
15.7,25639,20209
22.1,3943,21001
15.3,3230,21003
11.8,2843,21005
15.0,1130,21007
16.8,7390,21009
20.6,2613,21011
30.4,6953,21013
7.4,10120,21015
16.5,3297,21017
18.4,8437,21019
14.8,4123,21021
15.2,1275,21023
30.1,3950,21025
19.0,3901,21027
9.4,7813,21029
18.7,2263,21031
17.4,2144,21033
19.2,6649,21035
9.5,8673,21037
16.2,754,21039
16.3,1732,21041
19.5,5010,21043
25.5,3954,21045
18.3,12282,21047
15.4,5621,21049
35.1,6407,21051
23.5,2108,21053
19.6,1705,21055
23.9,1400,21057
13.1,13143,21059
16.8,2048,21061
27.2,1673,21063
21.3,2969,21065
14.9,45848,21067
21.3,3219,21069
34.8,12049,21071
14.1,7026,21073
29.2,1703,21075
13.3,1146,21077
16.1,2810,21079
13.0,3263,21081
18.8,6750,21083
17.1,4397,21085
19.9,2231,21087
16.1,5599,21089
14.0,1248,21091
12.6,13692,21093
26.9,6768,21095
14.8,2770,21097
20.4,3935,21099
17.4,7505,21101
13.0,2029,21103
16.1,690,21105
19.3,8415,21107
24.5,3146,21109
15.2,115319,21111
12.3,6479,21113
26.0,5687,21115
10.8,18257,21117
29.2,3892,21119
33.1,9557,21121
18.0,2687,21123
20.4,12616,21125
25.9,4134,21127
36.4,2230,21129
30.1,2930,21131
28.7,5910,21133
23.1,2946,21135
18.4,4426,21137
14.6,1300,21139
15.4,4237,21141
14.9,1082,21143
15.2,10063,21145
34.6,5190,21147
13.7,1236,21149
15.5,14003,21151
29.8,3340,21153
18.6,3588,21155
12.6,3939,21157
36.2,3451,21159
20.1,3344,21161
11.9,3525,21163
23.1,1424,21165
12.7,2865,21167
24.3,2492,21169
20.9,2337,21171
15.3,4279,21173
25.2,3042,21175
21.7,6264,21177
11.2,5263,21179
17.7,1356,21181
17.3,4014,21183
4.4,2836,21185
14.6,1632,21187
32.9,1263,21189
14.4,2090,21191
27.0,7200,21193
25.1,13778,21195
26.2,3334,21197
18.8,12116,21199
19.3,419,21201
24.2,3837,21203
21.4,4632,21205
20.2,3612,21207
8.3,4818,21209
8.9,4235,21211
15.6,3011,21213
8.3,1664,21215
17.8,4445,21217
17.1,2093,21219
13.8,1971,21221
12.1,1027,21223
17.2,2185,21225
18.4,24613,21227
14.4,1710,21229
28.8,5552,21231
14.7,1814,21233
26.3,9224,21235
32.0,2001,21237
10.1,2685,21239
24.9,13921,22001
20.9,4064,22003
10.3,13406,22005
18.3,3741,22007
27.2,9765,22009
14.9,5285,22011
25.5,3135,22013
13.1,16634,22015
22.2,49858,22017
16.5,32866,22019
21.1,1868,22021
14.1,688,22023
25.3,2044,22025
28.9,3448,22027
27.7,4777,22029
19.8,5245,22031
18.5,80321,22033
41.5,2208,22035
16.3,2718,22037
24.0,7328,22039
24.8,4700,22041
18.3,3472,22043
22.8,15387,22045
19.1,5105,22047
24.1,3404,22049
15.0,63585,22051
18.9,5901,22053
17.0,41649,22055
17.4,16245,22057
18.8,2389,22059
32.4,13878,22061
13.4,19692,22063
37.0,3218,22065
26.8,6222,22067
28.9,9973,22069
22.6,80328,22071
23.5,35808,22073
16.4,3569,22075
17.1,3411,22077
18.7,23295,22079
24.7,1783,22081
20.6,3903,22083
25.6,5534,22085
22.4,9882,22087
11.3,5688,22089
25.2,2699,22091
15.8,3051,22093
15.7,6207,22095
28.0,22555,22097
18.2,9246,22099
24.6,11575,22101
10.7,29091,22103
19.5,25934,22105
35.0,1347,22107
16.4,17009,22109
23.3,4719,22111
20.5,11561,22113
18.3,8313,22115
23.1,9956,22117
22.5,7931,22119
12.1,3313,22121
19.8,1861,22123
19.8,1978,22125
24.0,2820,22127
12.8,13750,23001
15.4,10138,23003
6.6,19827,23005
14.2,4061,23007
11.0,6064,23009
12.2,14916,23011
10.6,4194,23013
9.1,3232,23015
12.7,7462,23017
14.6,21623,23019
14.7,2522,23021
9.3,3424,23023
15.4,7760,23025
13.0,5139,23027
15.6,4781,23029
8.5,18069,23031
18.1,11069,24001
6.4,37624,24003
11.0,91009,24005
5.3,5011,24009
12.9,4251,24011
5.5,9468,24013
9.5,9831,24015
8.0,13513,24017
15.1,4893,24019
5.6,15874,24021
15.1,4238,24023
7.3,19117,24025
5.7,18867,24027
12.1,2181,24029
7.9,82175,24031
10.9,101043,24033
6.5,3341,24035
8.0,9049,24037
22.2,4358,24039
10.2,3817,24041
11.7,17387,24043
12.6,12746,24045
8.4,4483,24047
18.9,104408,24510
7.7,17549,25001
12.0,14737,25003
11.4,64988,25005
8.2,1711,25007
9.8,77346,25009
13.5,9425,25011
16.9,75753,25013
11.7,16278,25015
8.2,127726,25017
6.3,898,25019
6.5,46348,25021
7.7,40237,25023
16.4,118607,25025
10.6,88902,25027
12.9,1330,26001
11.3,896,26003
9.8,11735,26005
15.6,4448,26007
9.3,2236,26009
13.6,2039,26011
14.2,1047,26013
