,county,state,geoid,sub_price,roi_mean,roi_std,roi_p10,roi_p50,roi_p90
2292,Montour County,Pennsylvania,42093,80,124.75262184655561,13.110836511198487,106.05020370934398,129.06653211777828,136.79913893701604
2293,Northampton County,Pennsylvania,42095,80,146.49321632040812,1.5181809781163011,144.44166788888086,146.71890728001932,148.19955566391062
2294,Northumberland County,Pennsylvania,42097,80,142.77866793500004,3.6284289670364918,137.64556510452266,143.84275294098325,146.2055053824493
2295,Perry County,Pennsylvania,42099,80,137.53878912107973,6.357207183702389,127.95001150455323,139.69993021863453,143.590624859141
2296,Philadelphia County,Pennsylvania,42101,80,147.75370780121693,1.0890711664216026,146.3156642249315,147.79173970059543,149.11107304537936
2297,Pike County,Pennsylvania,42103,80,140.1060696152778,5.094668760177665,132.59573659691503,141.57162154171348,144.8699783942344
2298,Potter County,Pennsylvania,42105,80,121.57165540355965,15.344700404552258,98.47625577583759,126.8860107588763,135.47236284584588
2299,Schuylkill County,Pennsylvania,42107,80,144.75126560930266,2.537457866790044,141.5768833298526,145.31440387934555,147.17657552496377
2300,Snyder County,Pennsylvania,42109,80,136.22881654253618,7.3217954099436495,126.0189967342812,138.4579447652307,142.88823871751933
2301,Somerset County,Pennsylvania,42111,80,141.38432750949917,4.465927832623558,135.00020264062664,142.94073311601102,145.34516311849632
2302,Sullivan County,Pennsylvania,42113,80,88.80321277303618,26.532570257387555,45.39179854788806,97.86514470067075,115.47752556993542
2303,Susquehanna County,Pennsylvania,42115,80,136.29794669869128,7.254504110341829,125.69003863994323,138.70982028927614,142.79241126492903
2304,Tioga County,Pennsylvania,42117,80,136.79828354498872,7.267171222081269,126.16153871179563,139.3383396055105,143.30299363967052
2305,Union County,Pennsylvania,42119,80,136.92640550661034,7.164293772018508,126.2231773097131,139.51920914362802,143.37755617305163
2306,Venango County,Pennsylvania,42121,80,138.7647223187847,5.988590492702937,129.76887161078537,140.8122192126756,144.1318699316569
2307,Warren County,Pennsylvania,42123,80,135.7720255734418,7.901811605631865,123.57647004376663,138.68300533153962,142.6997138047726
2308,Washington County,Pennsylvania,42125,80,145.64659346082826,1.9419968824935776,143.03687213640382,145.91699470570597,147.78029172521957
2309,Wayne County,Pennsylvania,42127,80,138.5186155599759,5.923662680883541,129.58644476499336,140.47955551145236,143.9014292746366
2310,Westmoreland County,Pennsylvania,42129,80,146.70707227908682,1.4276448564193844,144.9096559142823,146.7830725088653,148.4114134121155
2311,Wyoming County,Pennsylvania,42131,80,130.76497713632367,10.491436419196884,115.59941002171179,134.41954617626106,140.2205446756823
2312,York County,Pennsylvania,42133,80,146.99629327366873,1.2976709705090694,145.30921259226213,147.06415838192888,148.6070280509274
2313,Bristol County,Rhode Island,44001,80,139.32954749652973,5.6717948826635585,131.48171374387044,141.21900285934248,144.2519292268226
2314,Kent County,Rhode Island,44003,80,145.27005584370275,2.143984935371904,142.5272210725157,145.6629504699617,147.54940502307218
2315,Newport County,Rhode Island,44005,80,142.56853276492615,3.6222794539502816,136.9531121605538,143.5380099350526,146.0364056273786
2316,Providence County,Rhode Island,44007,80,147.29884742248518,1.1840380068262646,145.69828540525197,147.3221895656148,148.74652704616125
2317,Washington County,Rhode Island,44009,80,144.61128662925583,2.5478679277050515,141.22271452704197,145.1736518640946,147.11804984524477
2318,Abbeville County,South Carolina,45001,80,123.62794313305473,13.776303802484394,103.72018396097005,128.74778270871445,135.7874745355738
2319,Aiken County,South Carolina,45003,80,144.1138614310103,2.7966423406627583,140.10564306701733,144.8417680415285,146.88250352819023
2320,Allendale County,South Carolina,45005,80,86.4168892337507,26.874857842130456,43.89174967410493,94.57714763850714,112.5974618968209
2321,Anderson County,South Carolina,45007,80,144.84722723536507,2.303733170072332,141.56855683206,145.35121675150282,147.14355809619164
2322,Bamberg County,South Carolina,45009,80,106.57357531427299,21.31505753836908,73.2535856877099,114.31359337722273,126.82222646503367
2323,Barnwell County,South Carolina,45011,80,119.4820645620988,15.58360194294406,94.9060823792421,125.04449766553732,134.21108508548252
2324,Beaufort County,South Carolina,45013,80,144.47572532755754,2.5374933232587153,140.91808518704497,145.08485225427359,147.0368835039384
2325,Berkeley County,South Carolina,45015,80,145.1384855269455,2.138002934483541,141.9913304175473,145.56327545329418,147.42324434858045
2326,Calhoun County,South Carolina,45017,80,108.70380819848177,19.96147227141115,75.54881699155807,115.70936152015145,127.72371356446403
2327,Charleston County,South Carolina,45019,80,146.46406725487358,1.4855510924970758,144.5418178118544,146.58049011337278,148.28612961822049
2328,Cherokee County,South Carolina,45021,80,136.0017803703301,7.604216176744137,124.3980599246332,138.7065808836557,142.76574827102604
2329,Chester County,South Carolina,45023,80,128.95246045046787,10.744510667381794,113.31093165330392,132.56780987103414,138.80141207025125
2330,Chesterfield County,South Carolina,45025,80,133.45297446067588,8.612110286981476,121.3780921224329,136.3317715244017,141.35114400773773
2331,Clarendon County,South Carolina,45027,80,127.98395844644045,11.757505583903935,109.93433204757606,132.3048714745005,138.68694001494927
2332,Colleton County,South Carolina,45029,80,131.65470352301008,9.983698434448893,116.40290249108645,135.41881121643414,140.36288969941634
2333,Darlington County,South Carolina,45031,80,137.40210956789076,6.7954324765890926,127.09432481920167,139.84516856564525,143.4631350798931
2334,Dillon County,South Carolina,45033,80,126.5919692097445,12.22704897914055,108.2713575185777,131.18169993822818,137.69412106637276
2335,Dorchester County,South Carolina,45035,80,143.83611639953972,2.910826323323437,139.93259602049235,144.66633383247117,146.70049970660435
2336,Edgefield County,South Carolina,45037,80,125.77066940351,12.42712711210325,106.91122489482612,130.36184636660823,136.92313550628643
2337,Fairfield County,South Carolina,45039,80,119.35187343048312,15.799077683912316,93.69404792528255,124.89178553324955,133.72272237161636
2338,Florence County,South Carolina,45041,80,143.24362333361728,3.2262412792187956,138.40373874447909,144.14489030542074,146.35553905977395
2339,Georgetown County,South Carolina,45043,80,137.52722505721573,6.579380665294576,127.51320548440358,139.8720062966383,143.3868176690474
2340,Greenville County,South Carolina,45045,80,146.7832935878959,1.3192327091724658,144.98716467152568,146.8379072910543,148.35180973325558
2341,Greenwood County,South Carolina,45047,80,138.50471143997578,6.075984197260132,128.8573438467566,140.585829672481,143.93915691105934
2342,Hampton County,South Carolina,45049,80,116.66438653472485,16.699581628282008,91.15211664263826,122.2228451815408,131.98679417642924
2343,Horry County,South Carolina,45051,80,146.28820938809292,1.5129050887790203,144.3023992054497,146.49890598903505,147.9801767664448
2344,Jasper County,South Carolina,45053,80,128.46202679229012,11.487628466268797,111.61804327936639,132.6808315038528,138.85473436679214
2345,Kershaw County,South Carolina,45055,80,138.2962455738121,6.1786984062091195,128.91984814134852,140.47390664646724,143.85642293674013
2346,Lancaster County,South Carolina,45057,80,141.31210575403995,4.466693272657952,134.53285607953828,142.7295817983424,145.40769845737128
2347,Laurens County,South Carolina,45059,80,138.62993558824684,6.01475332041085,129.3162709972449,140.72656372305607,143.93730573216715
2348,Lee County,South Carolina,45061,80,113.17647610867519,17.812178005664453,85.10919914690835,119.02430120375118,130.17658515636683
2349,Lexington County,South Carolina,45063,80,145.7942782605642,1.815346551419058,143.3476553557968,146.09505858119104,147.76877514314222
2350,McCormick County,South Carolina,45065,80,95.51827577356636,24.769431427576805,53.818414069057376,103.85462082936232,119.39722706490942
2351,Marion County,South Carolina,45067,80,126.04775421200875,12.706706999590505,106.20624919851468,130.66732224842184,137.47033064945842
2352,Marlboro County,South Carolina,45069,80,124.43811453673564,13.559483139984719,103.75709199284113,129.43317279180724,136.7626647669473
2353,Newberry County,South Carolina,45071,80,131.60982304541767,10.03464404676067,115.73234248576803,135.4482997497203,140.01758760718505
2354,Oconee County,South Carolina,45073,80,139.9726432199616,5.075229592357377,132.83857000002862,141.5997437054536,144.47646413094552
2355,Orangeburg County,South Carolina,45075,80,140.16908484298915,5.093442418769484,132.79244174063396,141.6976810898364,144.69163739535426
2356,Pickens County,South Carolina,45077,80,142.9925787012594,3.2351374526157453,138.35130550533142,143.8423548199047,146.19434318662195
2357,Richland County,South Carolina,45079,80,146.4127107626511,1.5426906539089291,144.2912656182363,146.59652139976083,148.2123585537323
2358,Saluda County,South Carolina,45081,80,116.85477486086596,16.897217055106395,89.33947958254353,122.99455074055496,132.4511966718853
2359,Spartanburg County,South Carolina,45083,80,146.16391076801852,1.6056451815343773,144.0346830058525,146.36214565360152,147.93481771433596
2360,Sumter County,South Carolina,45085,80,141.78787258041498,3.994901524863974,136.01199898443,143.02264258629728,145.54821225732996
2361,Union County,South Carolina,45087,80,125.84992611564164,13.02813829012306,106.8565257787286,130.2865218062973,137.30194109063154
2362,Williamsburg County,South Carolina,45089,80,127.30629834603961,12.007513226423574,109.42776641829008,131.4301157575907,137.97480986274198
2363,York County,South Carolina,45091,80,145.72920295209403,1.8481548988497027,143.22876602825136,146.0300460202838,147.69350869472558
2364,Aurora County,South Dakota,46003,80,56.85955822295561,30.83276483425463,7.838669797692802,63.74767110935794,92.52875531905372
2365,Beadle County,South Dakota,46005,80,126.96761576149255,12.57955197273185,108.77372612490412,131.46566563214927,138.28781034043988
2366,Bennett County,South Dakota,46007,80,66.01594639062306,30.97951687529877,18.220016810557777,73.66857873060671,99.33119389279454
2367,Bon Homme County,South Dakota,46009,80,101.24027178062879,23.648565055632545,65.3213697523184,109.5364445521717,124.04067365097609
2368,Brookings County,South Dakota,46011,80,136.20646896663135,7.686361116266172,124.56329902013215,138.90951579922177,142.841406840043
2369,Brown County,South Dakota,46013,80,136.92780139393096,7.022238733899427,126.70558635250397,139.14846428145069,143.43481306318682
2370,Brule County,South Dakota,46015,80,88.79969376503509,26.428642289926977,47.97057747880188,97.37324155885875,115.60240488978091
2371,Buffalo County,South Dakota,46017,80,38.38878854002894,32.7941816592786,-11.277005718834909,46.84489606556776,76.38173070832993
2372,Butte County,South Dakota,46019,80,114.01513073565144,18.15842087278293,86.88491662119178,120.09549119559915,131.09072469694078
2373,Campbell County,South Dakota,46021,80,17.01817409913924,33.019388133155154,-35.43248459843996,24.343796585120366,56.751246983949464
2374,Charles Mix County,South Dakota,46023,80,108.94362483248656,20.02921650963409,78.49003872603963,115.15285434905434,129.1314424638616
2375,Clark County,South Dakota,46025,80,74.76962373402253,29.481063648710712,29.427068721618976,81.56340301137922,107.74885675762555
2376,Clay County,South Dakota,46027,80,122.03714057668869,14.453943120282041,99.46220858604718,127.0588889293714,135.58067150787784
2377,Codington County,South Dakota,46029,80,133.3683225503834,8.948226986998627,119.93664999423125,136.29835531318525,141.48366037149842
2378,Corson County,South Dakota,46031,80,76.83964126542455,30.119373265679044,30.267580817990055,85.75575003789695,108.2429343054027
2379,Custer County,South Dakota,46033,80,108.04381319343376,21.370280326037545,76.00012538692395,115.14357615884255,128.38512729719088
2380,Davison County,South Dakota,46035,80,127.67548920439937,12.488860331654756,110.0741510243149,132.10410221114114,138.78880362065792
